,Survived,Pclass,SibSp,Parch,Single,SmallF,MedF,LargeF,Sex_code,Embarked_code,Title_code,AgeBin_code,FareBin_code,AClassBin_code
0,0,3,1,0,0,1,0,0,1,2,2,1,0,2
1,1,1,1,0,0,1,0,0,0,0,3,2,3,1
2,1,3,0,0,1,0,0,0,0,2,1,1,1,3
3,1,1,1,0,0,1,0,0,0,2,3,2,3,0
4,0,3,0,0,1,0,0,0,1,2,2,2,1,4
5,0,3,0,0,1,0,0,0,1,1,2,1,1,3
6,0,1,0,0,1,0,0,0,1,2,2,3,3,1
7,0,3,3,1,0,0,0,1,1,2,0,0,2,0
8,1,3,0,2,0,0,1,0,0,2,3,1,1,3
9,1,2,1,0,0,1,0,0,0,0,3,0,2,0
10,1,3,1,1,0,0,1,0,0,2,1,0,2,0
11,1,1,0,0,1,0,0,0,0,2,1,3,2,2
12,0,3,0,0,1,0,0,0,1,2,2,1,1,2
13,0,3,1,5,0,0,0,1,1,2,2,2,3,4
14,0,3,0,0,1,0,0,0,0,2,1,0,0,1
15,1,2,0,0,1,0,0,0,0,2,3,3,2,4
16,0,3,4,1,0,0,0,1,1,1,0,0,2,0
17,1,2,0,0,1,0,0,0,1,2,2,1,1,2
18,0,3,1,0,0,1,0,0,0,2,3,1,2,4
19,1,3,0,0,1,0,0,0,0,0,3,1,0,3
20,0,2,0,0,1,0,0,0,1,2,2,2,2,2
21,1,2,0,0,1,0,0,0,1,2,2,2,1,2
22,1,3,0,0,1,0,0,0,0,1,1,0,1,1
23,1,1,0,0,1,0,0,0,1,2,2,1,3,0
24,0,3,3,1,0,0,0,1,0,2,1,0,2,0
25,1,3,1,5,0,0,0,1,0,2,3,2,3,4
26,0,3,0,0,1,0,0,0,1,0,2,1,0,3
27,0,1,3,2,0,0,0,1,1,2,2,1,3,0
28,1,3,0,0,1,0,0,0,0,1,1,1,0,3
29,0,3,0,0,1,0,0,0,1,2,2,1,0,3
30,0,1,0,0,1,0,0,0,1,0,4,2,2,1
31,1,1,1,0,0,1,0,0,0,0,3,1,3,0
32,1,3,0,0,1,0,0,0,0,1,1,1,0,3
33,0,2,0,0,1,0,0,0,1,2,2,4,1,4
34,0,1,1,0,0,1,0,0,1,0,2,1,3,0
35,0,1,1,0,0,1,0,0,1,2,2,2,3,1
36,1,3,0,0,1,0,0,0,1,0,2,1,0,3
37,0,3,0,0,1,0,0,0,1,2,2,1,1,2
38,0,3,2,0,0,0,1,0,0,2,1,1,2,1
39,1,3,1,0,0,1,0,0,0,0,1,0,1,1
40,0,3,1,0,0,1,0,0,0,2,3,2,1,4
41,0,2,1,0,0,1,0,0,0,2,3,1,2,1
