,Survived,Pclass,Age,SibSp,Parch,Fare,Single,SmallF,MedF,LargeF,AClass,Sex_code,Embarked_code,Title_code
0,0,3,22.0,1,0,2.1102132003465894,0,1,0,0,66.0,1,2,2
1,1,1,38.0,1,0,4.2805931204649,0,1,0,0,38.0,0,0,3
2,1,3,26.0,0,0,2.188856327665703,1,0,0,0,78.0,0,2,1
3,1,1,35.0,1,0,3.9908341858524357,0,1,0,0,35.0,0,2,3
4,0,3,35.0,0,0,2.2027647577118348,1,0,0,0,105.0,1,2,2
5,0,3,28.0,0,0,2.246892662898172,1,0,0,0,84.0,1,1,2
6,0,1,54.0,0,0,3.967694202798607,1,0,0,0,54.0,1,2,2
7,0,3,2.0,3,1,3.0944457464900235,0,0,0,1,6.0,1,2,0
8,1,3,27.0,0,2,2.495953738718064,0,0,1,0,81.0,0,2,3
9,1,2,14.0,1,0,3.436268471383741,0,1,0,0,28.0,0,0,3
10,1,3,4.0,1,1,2.8735646395797834,0,0,1,0,12.0,0,2,1
11,1,1,58.0,0,0,3.3160025355989236,1,0,0,0,58.0,0,2,1
12,0,3,20.0,0,0,2.2027647577118348,1,0,0,0,60.0,1,2,2
13,0,3,39.0,1,5,3.4742929367327062,0,0,0,1,117.0,1,2,2
14,0,3,14.0,0,0,2.180891922715322,1,0,0,0,42.0,0,2,1
15,1,2,55.0,0,0,2.833213344056216,1,0,0,0,110.0,0,2,3
16,0,3,2.0,4,1,3.405355391810819,0,0,0,1,6.0,1,1,0
17,1,2,28.0,0,0,2.6390573296152584,1,0,0,0,56.0,1,2,2
18,0,3,31.0,1,0,2.9444389791664403,0,1,0,0,93.0,0,2,3
19,1,3,28.0,0,0,2.1071782966514356,1,0,0,0,84.0,0,0,3
20,0,2,35.0,0,0,3.295836866004329,1,0,0,0,70.0,1,2,2
21,1,2,34.0,0,0,2.6390573296152584,1,0,0,0,68.0,1,2,2
22,1,3,15.0,0,0,2.2004637699272855,1,0,0,0,45.0,0,1,1
23,1,1,28.0,0,0,3.597312260588446,1,0,0,0,28.0,1,2,2
24,0,3,8.0,3,1,3.0944457464900235,0,0,0,1,24.0,0,2,1
25,1,3,38.0,1,5,3.4777725458882283,0,0,0,1,114.0,0,2,3
26,0,3,28.0,0,0,2.1071782966514356,1,0,0,0,84.0,1,0,2
27,0,1,19.0,3,2,5.575949103146316,0,0,0,1,19.0,1,2,2
28,1,3,28.0,0,0,2.1837114628556327,1,0,0,0,84.0,0,1,1
29,0,3,28.0,0,0,2.1855792552411137,1,0,0,0,84.0,1,2,2
30,0,1,40.0,0,0,3.357621598945279,1,0,0,0,40.0,1,0,4
31,1,1,28.0,1,0,4.993969182787072,0,1,0,0,28.0,0,0,3
32,1,3,28.0,0,0,2.169053700369523,1,0,0,0,84.0,0,1,1
33,0,2,66.0,0,0,2.4423470353692043,1,0,0,0,132.0,1,2,2
34,0,1,28.0,1,0,4.420896324687287,0,1,0,0,28.0,1,0,2
35,0,1,42.0,1,0,3.970291913552122,0,1,0,0,42.0,1,2,2
36,1,3,28.0,0,0,2.1076888046179385,1,0,0,0,84.0,1,0,2
37,0,3,21.0,0,0,2.2027647577118348,1,0,0,0,63.0,1,2,2
38,0,3,18.0,2,0,2.9444389791664403,0,0,1,0,54.0,0,2,1
39,1,3,14.0,1,0,2.5048481563289,0,1,0,0,42.0,0,0,1
40,0,3,40.0,1,0,2.348991465808201,0,1,0,0,120.0,0,2,3
41,0,2,27.0,1,0,3.091042453358316,0,1,0,0,54.0,0,2,3
42,0,3,28.0,0,0,2.1855792552411137,1,0,0,0,84.0,1,0,2
43,1,2,3.0,1,2,3.7513658711253766,0,0,1,0,6.0,0,0,1
44,1,3,19.0,0,0,2.1837114628556327,1,0,0,0,57.0,0,1,1
45,0,3,28.0,0,0,2.2027647577118348,1,0,0,0,84.0,1,2,2
46,0,3,28.0,1,0,2.803360380906535,0,1,0,0,84.0,1,1,2
47,1,3,28.0,0,0,2.169053700369523,1,0,0,0,84.0,0,1,1
48,0,3,28.0,2,0,3.1214482048688246,0,0,1,0,84.0,1,0,2
49,0,3,18.0,1,0,2.9338568698359038,0,1,0,0,54.0,0,2,3
50,0,3,7.0,4,1,3.705920919968788,0,0,0,1,21.0,1,2,0
51,0,3,21.0,0,0,2.174751721484161,1,0,0,0,63.0,1,2,2
52,1,1,49.0,1,0,4.353230991152628,0,1,0,0,49.0,0,0,3
53,1,2,29.0,1,0,3.295836866004329,0,1,0,0,58.0,0,2,3
54,0,1,65.0,0,1,4.142804513146981,0,1,0,0,65.0,1,0,2
55,1,1,28.0,0,0,3.597312260588446,1,0,0,0,28.0,1,2,2
56,1,2,21.0,0,0,2.4423470353692043,1,0,0,0,42.0,0,2,1
57,0,3,28.5,0,0,2.1076888046179385,1,0,0,0,85.5,1,0,2
58,1,2,5.0,1,2,3.3586377672433594,0,0,1,0,10.0,0,2,1
59,0,3,11.0,5,2,3.8691155044168695,0,0,0,1,33.0,1,2,0
60,0,3,22.0,0,0,2.1076888046179385,1,0,0,0,66.0,1,0,2
61,1,1,38.0,0,0,4.394449154672439,1,0,0,0,38.0,0,2,1
62,0,1,45.0,1,0,4.436455632600354,0,1,0,0,45.0,1,2,2
63,0,3,4.0,3,2,3.3638415951183864,0,0,0,1,12.0,1,2,0
64,0,1,28.0,0,0,3.357621598945279,1,0,0,0,28.0,1,0,2
65,1,3,28.0,1,1,2.7878344138303452,0,0,1,0,84.0,1,0,0
66,1,2,29.0,0,0,2.4423470353692043,1,0,0,0,58.0,0,2,3
67,0,3,19.0,0,0,2.2146605719425225,1,0,0,0,57.0,1,2,2
68,1,3,17.0,4,2,2.188856327665703,0,0,0,1,51.0,0,2,1
69,0,3,26.0,2,0,2.2682524139135403,0,0,1,0,78.0,1,2,2
70,0,2,32.0,0,0,2.4423470353692043,1,0,0,0,64.0,1,2,2
71,0,3,16.0,5,2,3.8691155044168695,0,0,0,1,48.0,0,2,1
72,0,2,21.0,0,0,4.310799125385514,1,0,0,0,42.0,1,2,2
73,0,3,26.0,1,0,2.737880811060884,0,1,0,0,78.0,1,0,2
74,1,3,32.0,0,0,4.05171190165724,1,0,0,0,96.0,1,2,2
75,0,3,25.0,0,0,2.157559320943788,1,0,0,0,75.0,1,2,2
76,0,3,28.0,0,0,2.1855792552411137,1,0,0,0,84.0,1,2,2
77,0,3,28.0,0,0,2.2027647577118348,1,0,0,0,84.0,1,2,2
78,1,2,0.83,0,2,3.4011973816621555,0,0,1,0,1.66,1,2,0
79,1,3,30.0,0,0,2.600836116795061,1,0,0,0,90.0,0,2,1
80,0,3,22.0,0,0,2.302585092994046,1,0,0,0,66.0,1,2,2
81,1,3,29.0,0,0,2.3513752571634776,1,0,0,0,87.0,1,2,2
82,1,3,28.0,0,0,2.1733302571367834,1,0,0,0,84.0,0,1,1
83,0,1,28.0,0,0,3.8732821771117156,1,0,0,0,28.0,1,2,2
84,1,2,17.0,0,0,2.4423470353692043,1,0,0,0,34.0,0,2,1
85,1,3,33.0,3,0,2.8243506567983707,0,0,1,0,99.0,0,2,3
86,0,3,16.0,1,3,3.5660053559634015,0,0,0,1,48.0,1,2,2
